name,fsa,city,province,shares,lat,lon,tier,cluster,income,age,nearest_city,dist_to_cityhall_km,time_to_cityhall_min,dist_to_airport_km,time_to_airport_min,airport_distance_category,airport_duration_category,cityhall_distance_category,cityhall_duration_category
Investor 001,V0X,Richmond,BC,56,49.184811,-123.143739,Low,Do Not Contact,61.9,56.8,Vancouver,195.95,40.2,10.69,62.8,Medium Range - up to 100 km,Very Long Trip - More than 120 min,Nearby - up to 30 km,Close - up to 30 min
Investor 002,V1X,Langley,BC,35,49.059967,-122.687204,Low,High-Potential Contacts,53.5,61.5,Vancouver,163.39,55.7,129.94,46.9,Medium Range - up to 100 km,Very Long Trip - More than 120 min,Distant - More than 300 km,Moderate - up to 60 min
Investor 003,V2X,Kelowna,BC,452,49.899545,-119.52517,Low,High-Potential Contacts,111.0,38.7,Vancouver,155.75,88.6,147.77,25.9,Nearby - up to 30 km,Close - up to 30 min,Medium Range - up to 100 km,Very Close - up to 15 min
Investor 004,V3X,Nanaimo,BC,113,49.148924,-123.916433,Medium,Do Not Contact,114.3,44.7,Vancouver,189.57,98.3,107.33,64.6,Local - up to 10 km,Very Close - up to 15 min,Medium Range - up to 100 km,Very Close - up to 15 min
Investor 005,V4X,Burnaby,BC,102,49.201169,-123.014826,Medium,Low-Potential Contacts,76.2,50.7,Vancouver,125.92,109.7,192.54,30.8,Nearby - up to 30 km,Very Long Trip - More than 120 min,Local - up to 10 km,Close - up to 30 min
Investor 006,V5X,Nanaimo,BC,57,49.129011,-123.954689,Medium,Top Priority Contacts,79.0,51.8,Vancouver,112.22,66.7,175.03,37.5,Distant - More than 300 km,Very Close - up to 15 min,Distant - More than 300 km,Moderate - up to 60 min
Investor 007,V6X,Richmond,BC,287,49.125531,-123.175583,Low,Top Priority Contacts,59.5,43.7,Vancouver,155.52,28.2,48.81,99.3,Medium Range - up to 100 km,Close - up to 30 min,Local - up to 10 km,Moderate - up to 60 min
Investor 008,V7X,Surrey,BC,85,49.11473,-122.784809,Medium,High-Potential Contacts,63.4,46.2,Vancouver,178.91,101.1,3.37,42.9,Nearby - up to 30 km,Very Close - up to 15 min,Medium Range - up to 100 km,Very Long Trip - More than 120 min
Investor 009,V8X,Burnaby,BC,450,49.289958,-122.943592,Low,Low-Potential Contacts,83.1,47.6,Vancouver,188.29,29.7,45.31,105.0,Local - up to 10 km,Very Close - up to 15 min,Local - up to 10 km,Moderate - up to 60 min
Investor 010,V9X,Richmond,BC,76,49.202208,-123.180748,High,Do Not Contact,98.5,51.5,Vancouver,138.04,105.6,185.03,68.1,Distant - More than 300 km,Very Close - up to 15 min,Medium Range - up to 100 km,Close - up to 30 min
Investor 011,V0X,Langley,BC,101,49.075298,-122.614655,Top,Top Priority Contacts,63.1,50.9,Vancouver,125.95,11.4,140.25,60.1,Nearby - up to 30 km,Very Long Trip - More than 120 min,Distant - More than 300 km,Very Close - up to 15 min
Investor 012,V1X,Surrey,BC,47,49.065377,-122.845523,Low,Do Not Contact,108.9,47.2,Vancouver,41.01,87.0,63.22,22.1,Local - up to 10 km,Close - up to 30 min,Nearby - up to 30 km,Moderate - up to 60 min
Investor 013,V2X,Kelowna,BC,47,49.838789,-119.519879,Top,Do Not Contact,77.1,50.1,Vancouver,161.34,60.1,102.99,108.2,Medium Range - up to 100 km,Close - up to 30 min,Distant - More than 300 km,Close - up to 30 min
